,commodity,cty_code,dist_unlade,port_unlade,year,month,gen_val_mo,air_val_mo,air_swt_mo,ves_val_mo,ves_swt_mo,cnt_val_mo,cnt_swt_mo,port_full,distance
273372,845011,5520,10,03,2025,01,1476672,0,0,1476672,215096,1476672,215096,1003,20027.00655439514
273373,845011,5520,13,03,2025,01,3888,0,0,3888,740,3888,740,1303,20589.05445521992
273374,845011,5520,14,01,2025,01,8976,0,0,8976,2224,8976,2224,1401,20353.93379194727
273375,845011,5520,17,03,2025,01,153763,0,0,153763,21411,153763,21411,1703,20949.03024427143
273376,845011,5520,27,04,2025,01,19801,0,0,19801,4583,19801,4583,2704,13525.16778851572
273377,845011,5520,27,09,2025,01,39165,0,0,39165,8714,39165,8714,2709,13525.16778851572
273378,845011,5520,53,01,2025,01,4500,0,0,4500,930,4500,930,5301,21740.992499011183
273379,845011,5700,10,03,2025,01,772460,0,0,772460,142984,772460,142984,1003,19777.210656566334
273380,845011,5700,13,03,2025,01,411152,0,0,411152,87437,411152,87437,1303,19663.71566713922
273381,845011,5700,14,01,2025,01,269776,0,0,269776,117024,269776,117024,1401,19428.595003866565
273382,845011,5700,16,01,2025,01,2007121,0,0,2007121,524826,2007121,524826,1601,19013.219662419055
273383,845011,5700,17,03,2025,01,356090,0,0,356090,103523,356090,103523,1703,19022.34637113229
273384,845011,5700,18,01,2025,01,239027,0,0,239027,36975,239027,36975,1801,18426.199929383
273385,845011,5700,27,04,2025,01,1411372,0,0,1411372,412562,1411372,412562,2704,10674.961095071822
273386,845011,5700,27,09,2025,01,1192363,0,0,1192363,319443,1192363,319443,2709,10674.961095071822
273387,845011,5700,30,02,2025,01,107108,0,0,107108,21900,107108,21900,3002,9561.769581602828
273389,845011,5700,52,01,2025,01,51840,0,0,51840,10854,51840,10854,5201,18401.999381665668
273391,845011,5800,10,03,2025,01,38448,0,0,38448,6516,38448,6516,1003,18908.46650603098
273392,845011,5800,18,01,2025,01,36947,0,0,36947,6675,36947,6675,1801,17557.455778847645
273393,845011,5800,27,04,2025,01,100778,0,0,100778,17115,100778,17115,2704,9806.216944536469
273394,845011,5800,27,09,2025,01,5250,0,0,5250,1187,5250,1187,2709,9806.216944536469
273395,845011,5800,30,02,2025,01,35275,0,0,35275,5141,35275,5141,3002,8693.025431067475
273396,845011,5800,31,26,2025,01,6000,6000,140,0,0,0,0,3126,7005.745307384682
273397,845011,5800,53,01,2025,01,73253,0,0,73253,11665,73253,11665,5301,18022.041655031942
273457,845020,5520,10,03,2025,01,5329290,0,0,5329290,1335983,5329290,1335983,1003,20027.00655439514
273458,845020,5520,13,03,2025,01,111289,0,0,111289,23993,111289,23993,1303,20589.05445521992
273459,845020,5520,14,01,2025,01,207718,0,0,207718,49128,207718,49128,1401,20353.93379194727
273460,845020,5520,16,01,2025,01,51004,0,0,51004,17460,51004,17460,1601,20856.23784850532
273461,845020,5520,17,03,2025,01,1224634,0,0,1224634,314676,1224634,314676,1703,20949.03024427143
273462,845020,5520,18,01,2025,01,550916,0,0,550916,130083,550916,130083,1801,21276.406622826886
273463,845020,5520,18,03,2025,01,88851,0,0,88851,23436,88851,23436,1803,21171.556766823203
273464,845020,5520,19,01,2025,01,32777,0,0,32777,8781,32777,8781,1901,21494.9028728793
273465,845020,5520,27,04,2025,01,5052383,0,0,5052383,1280893,5052383,1280893,2704,13525.16778851572
273466,845020,5520,27,09,2025,01,5294297,0,0,5294297,1272110,5294297,1272110,2709,13525.16778851572
273467,845020,5520,28,11,2025,01,265533,0,0,265533,60014,265533,60014,2811,12896.948702420039
273468,845020,5520,29,04,2025,01,97067,0,0,97067,26198,97067,26198,2904,12471.036582506531
273469,845020,5520,30,01,2025,01,527994,0,0,527994,139929,527994,139929,3001,12376.560758683558
273470,845020,5520,30,02,2025,01,995465,0,0,995465,249727,995465,249727,3002,12411.976275046727
273471,845020,5520,49,09,2025,01,198073,0,0,198073,39396,198073,39396,4909,20389.989128037603
273472,845020,5520,52,01,2025,01,93252,0,0,93252,15864,93252,15864,5201,21231.81236872519
273473,845020,5520,53,01,2025,01,361796,0,0,361796,77205,361796,77205,5301,21740.992499011183
273474,845020,5700,10,03,2025,01,151825,0,0,151825,33511,151825,33511,1003,19777.210656566334
273475,845020,5700,13,03,2025,01,2937050,0,0,2937050,990387,2937050,990387,1303,19663.71566713922
273476,845020,5700,16,01,2025,01,8275496,0,0,8275496,2731801,8275496,2731801,1601,19013.219662419055
273477,845020,5700,17,03,2025,01,1345740,0,0,1345740,410197,1345740,410197,1703,19022.34637113229
273478,845020,5700,18,01,2025,01,67932,0,0,67932,22860,67932,22860,1801,18426.199929383
273479,845020,5700,18,03,2025,01,1493195,0,0,1493195,487628,1493195,487628,1803,18893.35511925648
273480,845020,5700,20,02,2025,01,471628,0,0,471628,52149,471628,52149,2002,18653.835136477017
273481,845020,5700,27,04,2025,01,4852823,0,0,4852823,1566846,4852823,1566846,2704,10674.961095071822
273482,845020,5700,27,09,2025,01,4817983,0,0,4817983,1613024,4817983,1613024,2709,10674.961095071822
273483,845020,5700,28,09,2025,01,279761,0,0,279761,90480,279761,90480,2809,10028.77593686844
273484,845020,5700,28,11,2025,01,4806325,0,0,4806325,1624560,4806325,1624560,2811,10046.74200897614
273485,845020,5700,30,01,2025,01,941211,0,0,941211,311376,941211,311376,3001,9526.354065239659
273486,845020,5700,30,02,2025,01,473373,0,0,473373,152844,473373,152844,3002,9561.769581602828
273487,845020,5700,32,01,2025,01,12970,0,0,12970,800,0,0,3201,8121.922500283982
273489,845020,5700,49,09,2025,01,125006,0,0,125006,38027,125006,38027,4909,17976.190706469046
273490,845020,5700,52,01,2025,01,14126,0,0,14126,555,14126,555,5201,18401.999381665668
273491,845020,5700,52,03,2025,01,143242,0,0,143242,27792,143242,27792,5203,18422.16366720927
273492,845020,5700,53,01,2025,01,42848,0,0,42848,12416,33966,11430,5301,18890.7858055673
273493,845020,5800,10,03,2025,01,3220099,0,0,3220099,510219,3220099,510219,1003,18908.46650603098
273494,845020,5800,13,03,2025,01,112131,0,0,112131,19992,112131,19992,1303,18794.971516603866
273495,845020,5800,16,01,2025,01,44405,0,0,44405,8049,44405,8049,1601,18144.475511883702
273496,845020,5800,17,03,2025,01,1733928,0,0,1733928,282875,1733928,282875,1703,18153.60222059694
273497,845020,5800,18,01,2025,01,971931,0,0,971931,156528,971931,156528,1801,17557.455778847645
